fiscal_year,shares_retired_source,shares_retired_tag,repurchase_cash_usdm,shares_retired_mn,shares_issued_mn,shares_outstanding_fye_mn,pct_shares_retired,net_share_change_pct,avg_price_paid,fy_mean_market_price,pe_paid,market_pe,real_cost_of_equity_pct
2015,filed,StockRepurchasedAndRetiredDuringPeriodShares,481.0,3.5,3.7,438.0,0.79,0.061,139.18,140.84,25.92,26.23,5.5
2016,filed,StockRepurchasedAndRetiredDuringPeriodShares,486.0,3.2,2.8,437.5,0.727,-0.098,152.64,155.63,28.64,29.2,5.5
2017,filed,StockRepurchasedAndRetiredDuringPeriodShares,469.0,3.0,2.7,437.2,0.685,-0.073,156.44,162.71,25.73,26.76,5.5
2018,filed,StockRepurchasedAndRetiredDuringPeriodShares,328.0,1.8,2.7,438.2,0.402,0.225,186.79,193.86,26.35,27.34,5.5
2019,filed,StockRepurchasedAndRetiredDuringPeriodShares,247.0,1.1,2.5,439.6,0.25,0.328,225.16,241.15,27.26,29.19,5.5
2020,filed,StockRepurchasedAndRetiredDuringPeriodShares,196.0,0.6,2.3,441.3,0.146,0.371,304.82,303.22,33.79,33.62,5.5
2021,filed,StockRepurchasedAndRetiredDuringPeriodShares,496.0,1.4,1.9,441.8,0.308,0.129,365.24,379.03,32.41,33.63,5.5
2022,filed,StockRepurchasedAndRetiredDuringPeriodShares,439.0,0.9,1.7,442.7,0.195,0.19,508.69,515.74,38.71,39.25,5.5
2023,filed,StockRepurchasedAndRetiredDuringPeriodShares,676.0,1.3,1.5,442.8,0.303,0.029,504.1,510.4,35.6,36.05,5.5
2024,filed,StockRepurchasedAndRetiredDuringPeriodShares,700.0,1.0,1.3,443.1,0.227,0.075,697.21,719.9,42.1,43.47,5.5
2025,filed,StockRepurchasedAndRetiredDuringPeriodShares,903.0,0.9,1.1,443.2,0.213,0.025,957.58,960.89,52.59,52.77,5.5
