Date,Close
2012-01-01,192.6
2012-02-01,196.73
2012-03-01,208.65
2012-04-01,207.08
2012-05-01,192.9
2012-06-01,195.58
2012-07-01,195.98
2012-08-01,194.85
2012-09-01,207.45
2012-10-01,194.53
2012-11-01,190.07
2012-12-01,191.55
2013-01-01,203.07
2013-02-01,200.83
2013-03-01,213.3
2013-04-01,202.54
2013-05-01,208.02
2013-06-01,191.1101
2013-07-01,195.04
2013-08-01,182.27
2013-09-01,185.18
2013-10-01,179.21
2013-11-01,179.68
2013-12-01,187.57
2014-01-01,176.68
2014-02-01,185.17
2014-03-01,192.49
2014-04-01,196.47
2014-05-01,184.36
2014-06-01,181.27
2014-07-01,191.67
2014-08-01,192.3
2014-09-01,189.83
2014-10-01,164.4
2014-11-01,162.17
2014-12-01,160.44
2015-01-01,153.31
2015-02-01,161.94
2015-03-01,160.5
2015-04-01,171.29
2015-05-01,169.65
2015-06-01,162.66
2015-07-01,161.9899
2015-08-01,147.89
2015-09-01,144.9701
2015-10-01,140.08
2015-11-01,139.42
2015-12-01,137.62
2016-01-01,124.79
2016-02-01,131.03
2016-03-01,151.45
2016-04-01,145.94
2016-05-01,153.74
2016-06-01,151.78
2016-07-01,160.62
2016-08-01,158.88
2016-09-01,158.85
2016-10-01,153.69
2016-11-01,162.22
2016-12-01,165.9899
2017-01-01,174.52
2017-02-01,179.82
2017-03-01,174.14
2017-04-01,160.29
2017-05-01,152.63
2017-06-01,153.83
2017-07-01,144.67
2017-08-01,143.03
2017-09-01,145.08
2017-10-01,154.06
2017-11-01,153.97
2017-12-01,153.42
2018-01-01,163.7
2018-02-01,155.83
2018-03-01,153.43
2018-04-01,144.96
2018-05-01,141.31
2018-06-01,139.7
2018-07-01,144.93
2018-08-01,146.48
2018-09-01,151.21
2018-10-01,115.43
2018-11-01,124.27
2018-12-01,113.67
2019-01-01,134.42
2019-02-01,138.1301
2019-03-01,141.1
2019-04-01,140.27
2019-05-01,126.99
2019-06-01,137.9
2019-07-01,148.24
2019-08-01,135.53
2019-09-01,145.42
2019-10-01,133.7299
2019-11-01,134.45
2019-12-01,134.04
2020-01-01,143.73
2020-02-01,130.15
2020-03-01,110.93
2020-04-01,125.56
2020-05-01,124.9
2020-06-01,120.77
2020-07-01,122.94
2020-08-01,123.31
2020-09-01,121.67
2020-10-01,111.66
2020-11-01,123.52
2020-12-01,125.88
2021-01-01,119.11
2021-02-01,118.93
2021-03-01,133.26
2021-04-01,141.88
2021-05-01,143.74
2021-06-01,146.59
2021-07-01,140.96
2021-08-01,140.34
2021-09-01,138.93
2021-10-01,125.1
2021-11-01,117.1
2021-12-01,133.66
2022-01-01,133.57
2022-02-01,122.51
2022-03-01,130.02
2022-04-01,132.21
2022-05-01,138.84
2022-06-01,141.19
2022-07-01,130.79
2022-08-01,128.45
2022-09-01,118.81
2022-10-01,138.29
2022-11-01,148.9
2022-12-01,140.89
2023-01-01,134.73
2023-02-01,129.3
2023-03-01,131.09
2023-04-01,126.41
2023-05-01,128.59
2023-06-01,133.81
2023-07-01,144.18
2023-08-01,146.83
2023-09-01,140.3
2023-10-01,144.64
2023-11-01,158.56
2023-12-01,163.55
2024-01-01,183.66
2024-02-01,185.03
2024-03-01,190.96
2024-04-01,166.2
2024-05-01,166.85
2024-06-01,172.95
2024-07-01,192.14
2024-08-01,202.13
2024-09-01,221.08
2024-10-01,206.72
2024-11-01,227.41
2024-12-01,219.83
2025-01-01,255.7
2025-02-01,252.44
2025-03-01,248.66
2025-04-01,241.82
2025-05-01,259.06
2025-06-01,294.78
2025-07-01,253.15
2025-08-01,243.49
2025-09-01,282.16
2025-10-01,307.41
2025-11-01,308.58
2025-12-01,296.21
2026-01-01,306.7
2026-02-01,240.21
2026-03-01,242.39
2026-04-01,230.98
2026-05-01,297.8
2026-06-01,281.21
2026-07-01,223.65
2026-08-01,237.14
