Date,Close
2010-01-04,23.06
2010-02-01,24.65
2010-03-01,25.71
2010-04-01,25.87
2010-05-03,22.57
2010-06-01,21.46
2010-07-01,23.64
2010-08-02,21.84
2010-09-01,26.85
2010-10-01,29.38
2010-11-01,27.05
2010-12-01,31.3
2011-01-03,32.03
2011-02-01,32.9
2011-03-01,33.43
2011-04-01,35.96
2011-05-02,34.22
2011-06-01,32.91
2011-07-01,30.58
2011-08-01,28.07
2011-09-01,28.74
2011-10-03,32.77
2011-11-01,31.35
2011-12-01,25.65
2012-01-03,28.21
2012-02-01,29.25
2012-03-01,29.16
2012-04-02,29.4
2012-05-01,26.47
2012-06-01,29.7
2012-07-02,30.2
2012-08-01,31.65
2012-09-04,31.46
2012-10-01,31.08
2012-11-01,32.18
2012-12-03,33.32
2013-01-02,35.51
2013-02-01,34.24
2013-03-01,32.33
2013-04-01,32.78
2013-05-01,33.78
2013-06-03,30.71
2013-07-01,32.35
2013-08-01,31.86
2013-09-03,33.17
2013-10-01,33.5
2013-11-01,35.29
2013-12-02,38.26
2014-01-02,36.9
2014-02-03,39.11
2014-03-03,40.91
2014-04-01,40.88
2014-05-01,42.02
2014-06-02,40.53
2014-07-01,40.39
2014-08-01,41.53
2014-09-02,38.28
2014-10-01,39.05
2014-11-03,42.41
2014-12-01,44.97
2015-01-02,41.89
2015-02-02,43.82
2015-03-02,43.15
2015-04-01,43.62
2015-05-01,43.49
2015-06-01,40.3
2015-07-01,39.94
2015-08-03,37.09
2015-09-01,36.12
2015-10-01,38.84
2015-11-02,38.97
2015-12-01,36.53
2016-01-04,36.31
2016-02-01,36.78
2016-03-01,40.91
2016-04-01,39.86
2016-05-02,40.2
2016-06-01,40.93
2016-07-01,41.04
2016-08-01,41.22
2016-09-01,39.28
2016-10-03,38.42
2016-11-01,40.19
2016-12-01,38.45
2017-01-03,40.11
2017-02-01,42.59
2017-03-01,44.61
2017-04-03,44.96
2017-05-01,45.39
2017-06-01,50.14
2017-07-03,49.93
2017-08-01,50.33
2017-09-01,48.35
2017-10-02,50.9
2017-11-01,49.06
2017-12-01,47.28
2018-01-02,51.59
2018-02-01,50.67
2018-03-01,45.75
2018-04-02,45.67
2018-05-01,46.72
2018-06-01,44.06
2018-07-02,47.68
2018-08-01,48.58
2018-09-04,51.56
2018-10-01,48.84
2018-11-01,48.76
2018-12-03,45.15
2019-01-02,50.23
2019-02-01,52.13
2019-03-01,53.71
2019-04-01,55.33
2019-05-01,50.6
2019-06-03,56.97
2019-07-01,56.3
2019-08-01,52.06
2019-09-03,55.03
2019-10-01,54.49
2019-11-01,56.14
2019-12-02,52.98
2020-01-02,52.45
2020-02-03,49.46
2020-03-02,48.33
2020-04-01,52.97
2020-05-01,53.77
2020-06-01,55.27
2020-07-01,55.45
2020-08-03,57.22
2020-09-01,59.7
2020-10-01,56.11
2020-11-02,57.72
2020-12-01,64.69
2021-01-04,60.43
2021-02-01,64.51
2021-03-01,70.17
2021-04-01,75.79
2021-05-03,78.74
2021-06-01,77.84
2021-07-01,87.14
2021-08-02,89.13
2021-09-01,87.13
2021-10-01,95.94
2021-11-01,90.74
2021-12-01,87.21
2022-01-03,81.16
2022-02-01,75.97
2022-03-01,82.73
2022-04-01,73.4
2022-05-02,71.92
2022-06-01,69.87
2022-07-01,77.84
2022-08-01,74.15
2022-09-01,61.07
2022-10-03,78.07
2022-11-01,83.03
2022-12-01,81.74
2023-01-03,88.46
2023-02-01,87.4
2023-03-01,92.92
2023-04-03,94.72
2023-05-01,105.94
2023-06-01,119.09
2023-07-03,117.23
2023-08-01,120.39
2023-09-01,105.92
2023-10-02,103.4
2023-11-01,116.21
2023-12-01,105.43
2024-01-02,111.7
2024-02-01,111.68
2024-03-01,125.61
2024-04-01,113.75
2024-05-01,117.19
2024-06-03,141.2
2024-07-01,139.45
2024-08-01,141.29
2024-09-03,170.4
2024-10-01,167.84
2024-11-01,184.84
2024-12-02,166.64
2025-01-02,170.06
2025-02-03,166.06
2025-03-03,139.81
2025-04-01,140.72
2025-05-01,165.53
2025-06-02,218.63
2025-07-01,253.77
2025-08-01,226.13
2025-09-02,281.24
2025-10-01,262.61
2025-11-03,201.95
2025-12-01,194.91
2026-01-02,164.58
2026-02-02,145.4
2026-03-02,147.11
2026-04-01,161.39
2026-05-01,225.78
2026-06-01,146.55
2026-07-01,129.87
2026-08-03,153.28
